login,post,posts_time,posts_dt,ticker
TheTraide,"ИТОГИ ГОДА: &Фундаментальная Взгляд под другим углом!
Вот и подошел к концу 2022 год! Ох, я думаю мы запомним его надолго.

Сколько ""крови"" было пролито на бирже...реки, моря...Но среди всего этого, главное не потерять себя. Ведь как говорится в одном из величайших фильмов ""Важно, какой ты держишь удар!"".

Стратегия &Фундаментальная попав в просадку почти 40%, даже вышла в небольшой плюс, согласно данных Пульса.

А вот на втором скрине Индекс ММВБ который пока, так и не оправился от падения.
Текущая просадка ММВБ  более -37%

С 1 июля 2022 года по сегодня, Индекс ММВБ лежит в боковике и находится в просадке на -2% (скрин 3)

Стратегия &Фундаментальная и 1 июля 2022 года заработала чуть больше +55%(скрин 4)

31 марта текущего года, на просадке в 24%, была рекомендация к подключению. Но кто  будет слушать...)))Психология людей, к сожалению такова...говоришь подключайтесь на просадке - возникает СТРАХ, говоришь закрывай позицию, будет падать - говорят ""Ты идиот, смотри как все растет!"" - это ЖАДНОСТЬ!

А на рынке это ваши главные враги, СТРАХ и ЖАДНОСТЬ!

Интереса РАДИ, посмотрите комментарии к посту https://www.tinkoff.ru/invest/social/profile/TheTraide/8118dc4a-37e5-4186-a416-9cde75d47aac/ и посмотрите профили активистов) 

Но все же! Я благодарен 2022 году, и за падение и за взлеты. Это было не просто! Удар был жёсткий, молниеносный...но он выдержан! 

В 2023 году, будет перестройка по стратегии...логика останется той же, но снизятся сделки.

На праздники оставил в позах ряд бумаг: ЛУКОЙЛ $LKOH, РОСНЕФТЬ $ROSN, ТАТНЕФТЬ $TATN, ПОЛЮС $PLZL, СЕВЕРСТАЛЬ $CHMF

 P.S.: Для тех кто рекомендовал мне закрыть стратегию и создать новую ради графика. 

Я отвечу Вам так. Есть такие понятия как Честность, ответственность и сила воли! Именно эти понятия для меня важны! 

И хочу задать им вопрос ""Ну, а как дела у вас?""

Для всех остальных!

Дорогие подписчики! С наступающим новым 2023 годом! Успехов вам, поменьше просадок и больше профита!

До встречи в 2023!",16:02,2022-12-31,ROSN
Tony19997,$ROSN стоит заходить сейчас в бумагу под дивиденды?,15:56,2022-12-31,ROSN
Lethim,"$ROSN  Каждые выходные одно и тоже, каждый удивляется лесенке в стакане и странной ценой. По-моему Тинькофф нужно сделать огромную табличку ""Что такое Внебиржевые торги"", а не то что в углу полу-прозрачное. 
С наступающим Новым годом, пульс. 🚀",15:51,2022-12-31,ROSN
G0rpmai,"$ROSN #пульс
покупка 369, а продажа 365
это нормально? или я что-то не понимаю в словосочетании ""лучшая цена""?",15:41,2022-12-31,ROSN
mr.highwood,"🇷🇺Народный портфель акций РФ на Мосбирже по итогам 2022 года (доли):

1. Газпром: 26.1% $GAZP
2. Сбербанк АО: 22.1% $SBER
3. Лукойл: 11.9% $LKOH
4. Норникель: 9.7% $GMKN
5. Сбербанк АП: 6.4% $SBERP
6. Яндекс: 5.7% $YNDX
7. Сургутнефтегаз АП: 5.0% $SNGSP
8. Роснефть: 5.0% $ROSN
9. МТС: 4.0% $MTSS
10. Новатэк: 4.0% $NVTK

✅ Результаты компаний (YTD):

1. Газпром -52.5%
2. Сбербанк АО -52.3%
3. Лукойл -38.2%
4. Норникель -33.2%
5. Сбербанк АП -49.7%
6. Яндекс -59.7%
7. Сургутнефтегаз АП -32.3%
8. Роснефть -39.0%
9. МТС -20.9%
10. Новатэк -37.2%

💼 Результат портфеля с начала года: -45.5%. 

▶️ Заходи в профиль и подписывайся, чтобы получать больше актуальных новостей, обзоров и мнений",15:01,2022-12-31,ROSN
MyNameBoba,"$ROSN мира и бобра 
Тинькофф от души",14:57,2022-12-31,ROSN
Bandit42,$ROSN Всем доброго вечера с наступающим Новым Годом  Всем удачи в следующем году Я жду когда поднимится до 412 рублей  Счастья Вам!,14:40,2022-12-31,ROSN
Russian_Stocks,"⭐ Друзья! 2022 год был не самым простым для российских инвесторов. Слегка снизились некоторые акции и индексы 😉 

🔥 Но заканчивать год всегда нужно на оптимистичной ноте, поэтому предлагаю вспомнить самое приятное, а именно - дивиденды, которые всегда греют душу.

🇷🇺 В таблице ниже представлены 10 самых крупных выплат дивидендов, которые были в уходящем году. 

❗Всех с наступающим! Продолжайте верить в лучшее несмотря ни на что! 👍


#акции #россия #пульс #новости #аналитика #новичкам #инвестиции #учу_в_пульсе #прояви_себя_в_пульсе
$GAZP $GMKN $MTSS $LKOH $PHOR $SIBN $ROSN $TATN $NVTK",14:28,2022-12-31,ROSN
niikola,"Друзья, всех с наступающим Новым годом🎄, желаю всем зелёных портфелей и профита, мирного неба над головой! Пусть у каждого сбудутся все цели в новом году.

Тинькофф сделал подарок на НГ акции $ROSN, большое спасибо, мелочь но приятно🥇",14:18,2022-12-31,ROSN
Saltos,"$ROSN 400 пробьем к 10? Я думаю что да, ну и див гэп наверное может быть соответственный. Как думаете до скольки упадёт после отсечки?",14:04,2022-12-31,ROSN
bazar_vokzul,"Всех с наступающим новым годом 🎄!🥳🥳
Уходящий год, принес много эмоций и запоминающихся моментов, для инвесторов.

Все, кто остались и по прежнему инвестируют, те по настоящему крепкие ребята 😂

Верю, что в новом 2023 году, все портфели у нас будут зелёные, дивиденды будут огромными и все будет хорошо🥳🎄🎄🎄🎄🎄

Всех с праздником! 🎆

$GAZP
$LKOH
$SBER
$ROSN",14:02,2022-12-31,ROSN
yura2041,"$ROSN А ничего, что торги 3 откроются на тех ценах на которых в пятницу остановились. И любая не хорошая новость или на пару долларов просадка нефти может акцию вниз кинуть и получится, что люди по 370₽ и больше покупают билет совсем не на ракету 
#акции #прояви_себя_в_пульсе",14:02,2022-12-31,ROSN
Vesnaaa,"$ROSN отличные ракеты 
Идём к 380
С 3 января до 6 когда торги откроют улетит класс.
Возможно и 400 будет",13:48,2022-12-31,ROSN
Flexio,"$ROSN $TATN $SIBN $BELU 
В России с 1 января увеличатся акцизы на ряд товаров, что приведет к росту их стоимости. 

Гарантированно вырастут цены на алкоголь, табачные изделия, автомобили и мотоциклы, бензин и дизельное топливо.",13:40,2022-12-31,ROSN
Markin_in_Park,$ROSN вы стакан видели?? Че за елочки? Боты в теме?,12:53,2022-12-31,ROSN
daniil7086,$ROSN кто как думает продавать или держать?,12:41,2022-12-31,ROSN
Dimka256,$ROSN до скольки сегодня торги?,12:40,2022-12-31,ROSN
Pa6oTHuK,$ROSN урааа! Я в плюсе на 500р))) наконец-то. Фиксить?) 600 бумаг),12:34,2022-12-31,ROSN
oldcoon,"В России с января вырастут цены на алкоголь, табачные изделия, автомобили и мотоциклы, а также на топливо. Подорожание связано с увеличением ставок по акцизам. @banksta
$BELU $LKOH $ROSN $SIBN",12:27,2022-12-31,ROSN
Mr_Vovan77,$ROSN Нормально так ракета полетела🚀,12:21,2022-12-31,ROSN
EvgeniyRoyal,$ROSN как-то перекуплено… Или не?,12:08,2022-12-31,ROSN
